site,reviews
metacritic,"Frozen II is funny, exciting, sad, romantic, and silly. It has great songs and a hilarious recap of the first movie, and then it is all of that all over again.
                                    "
metacritic,"The side plots are the burst of energy the movie needs.
                                    "
metacritic,"With Frozen II, Disney has done the impossible: It’s made a terrific animated-musical sequel.
                                    "
metacritic,"While lacking the surprise and simplicity of the original “Frozen,” the sequel is still largely wonderful in its own right. It fearlessly transforms the original characters and even its own storytelling format, eschewing the familiar for something grander and more complex.
                                    "
metacritic,"No sequel is essential, but Frozen 2 makes the argument that, even in the fairy tale land of Disney, they can still be important.
                                    "
metacritic,"The more times I listen to Frozen II’s rousing anthem Into the Unknown, the more I’m convinced of its earworm quality. It’s as good (and maybe better) than the indelible Let It Go.
                                    "
metacritic,"What you get out of Frozen II over the original is Anna and Elsa’s stronger relationship. They are together throughout most of the film, and their sisterhood is strong, fun to watch, and remains the heart of the film. Frozen II is a worthy sequel, and you’ll be glad Disney got greedy and made it.
                                    "
metacritic,"Disney delivers an uneven but sensationally entertaining sequel to the Oscar winner that pulls out all the stops.
                                    "
metacritic,"If Frozen was about coming to terms with who you are, Frozen II is about transformation. Does it offer further evidence for those who saw ""Let It Go"" as Elsa’s covert coming-out anthem? Sadly not, though she remains an intriguingly elliptical canvas on which to project genuinely groundbreaking ideas about empowerment and identity. 
                                    "
metacritic,"The best things about the first film — the characters and music — once again sing in a frequently dazzling if narratively flawed sequel that’s better at being sensory than sense-making.
                                    "
metacritic,"For all its feints and innovations, Frozen II knows its audience inside out, and wants to ensure every last subdivision leaves feeling both seen and satisfied. That’s obviously good business. But it’s also generous, deeply charming filmmaking.
                                    "
metacritic,"Because the first movie generated such a bracing gust of enthusiasm, Frozen 2 will inevitably be nitpicked and judged against those lofty standards. Still, there's plenty to enjoy for those willing to chill out, and yes, let the past go.
                                    "
metacritic,"Directors Jennifer Lee (who also wrote the screenplay) and Chris Buck, along with the obligatory army of talented Disney animators, deliver one brilliantly rendered set piece after another.
                                    "
metacritic,"At its best, and it’s mostly at its best, Frozen II has an air of enchantment.
                                    "
metacritic,"With so much going on, it’s easy to overlook that the most profound and moving relationship in either film is the bond between Elsa and Anna. It’s the most human and least-calculated thing in “Frozen” or Frozen II. Their love is the ultimate special effect. Ice is nice. But sisterhood is what’s really powerful.
                                    "
metacritic,"The movie itself occasionally gets lost in those woods, but finds its way back out again.
                                    "
metacritic,"Frozen 2 makes a valiant effort to live up to its predecessor, but can’t escape its shadow.
                                    "
metacritic,"There’s a lot to like here, from a rich palette of autumn colors to a potentially provocative subplot that will teach children that nations need to acknowledge and atone for their historical sins, but in the final tally, this is a sequel that exists not because there was more story to be told but because there was more money to be made.
                                    "
metacritic,"Frozen 2 has amazing animation and great new songs but also a muddied message and some continuity issues.
                                    "
metacritic,"An air of wistfulness imbues the proceedings, building to a resonant climax that’s hard to resist, despite some legitimate reservations about this uneven sequel.
                                    "
metacritic,"What’s smart about Frozen II is, instead of trying to just recapture its past glory, it decides to be interesting. And when making a sequel to a cultural phenomenon, “being interesting” seems both pretty rare and the best we can hope for.
                                    "
metacritic,"Like the first film, Frozen II is less a triumph of storytelling than of packaging. It bundles together a bunch of familiar, likable characters and a fresh list of bright, catchy songs, expertly written (by the returning duo of Kristen Anderson-Lopez and Robert Lopez) with an ear toward the Broadway showtunes they will one day inevitably become.
                                    "
metacritic,"In a world where old-timers accuse the youth of being oversensitive snowflakes, Frozen II shows what it means to have one’s heart in the right place.
                                    "
metacritic,"What is notable is how the film gives children a framework, and the language, to process this act of violence, same as it does the pain of grief, the bitter rub of mortality. I don’t know if that sensitivity will translate to a gajillion more princess dresses sold, but as a teaching aid for kids – a tool for taking on more adult concerns – I found it surprisingly impactful.
                                    "
metacritic,"Frozen II is just an echo, drawing prospective fans in without finding many new notes to hit.
                                    "
metacritic,"Directed by Chris Buck and Jennifer Lee (the latter also wrote the screenplay, both directed the original), it’s gorgeous-looking. It’s briskly paced. And it’s tuneful.  Uh, about those tunes: They’re blaringly, oppressively, crushingly LOUD! With “Frozen” we got the rousing Oscar-winning “Let It Go.” With Frozen II, someone should have told the songwriters to tone it down.
                                    "
metacritic,"It just doesn’t have the exciting, lightning-in-a-bottle feel that the wonderful original had. Perhaps that was too much to ask.
                                    "
metacritic,"If you were holding out hope that Frozen 2 could equal or surpass the original phenomenon, it’s time to let it go.
                                    "
metacritic,"The ensuing adventure is lively, amusing and predictably predictable with revelations, reconciliations and some nebulous politics for the grown-ups. It’s never surprising, yet its bursts of pictorial imagination — snowflakes that streak like shooting stars — keep you engaged, as do Elsa and Anna, who still aren’t waiting for life to happen.
                                    "
metacritic,"Frozen 2 is still a plenty enjoyable film, even if it lacks its predecessor’s subversive spark. But for me, watching generative and derivative nostalgia spar within it prompted a different sense of the familiar: bleakness about the future of mouse-eared entertainment.
                                    "
metacritic,"It adds up to a marginally more interesting experience than the first “Frozen,” but this sequel would have benefited from venturing a touch further into the unknown.
                                    "
metacritic,"Even with Frozen II’s problems, the ending affected me. Because some things do change. Even if they always remain Frozen.
                                    "
metacritic,"Frozen 2 has everything you would expect — catchy new songs, more time with easy-to-like characters, striking backdrops, cute little jokes, a voyage of discovery plot and female empowerment galore — except the unexpected.
                                    "
metacritic,"A solid sequel that hits the right notes and entertains without ever being quite as satisfying or essential as the original.
                                    "
metacritic,"It’s nice to see these figures again, but I couldn’t help feeling that there is something a bit underpowered and contrived about the storyline in Frozen II: a matter of jeopardy synthetically created and artificially resolved, obstacles set in place and then surmounted, characters separated and reunited, bad stuff apparently happening and then unhappening.
                                    "
metacritic,"The result is a convoluted, sporadically sensical, occasionally trippy film that can’t quite find a purpose amid all the manic world-building.
                                    "
metacritic,"Still — and with the full knowledge of committing an atrocious pun — the whole thing left me cold, partly because there’s no actual villain and thus very little concrete drama.
                                    "
metacritic,"It’s easier to think about Frozen II as a product than as a film because a (sometimes stunning-looking) product is all that it feels like.
                                    "
metacritic,"I could watch the background environmental action here for hours. But then the second thought of my Frozen 2 experience hit: I really wish I was listening to Let it Go right now.
                                    "
metacritic,"The sequel to the 2013 animated blockbuster is much better than, say, “Pocahontas II: Journey to a New World.” But Frozen II is still a disappointing continuation of the story of Queen Elsa and Princess Anna of Arendelle.
                                    "
metacritic,"Woke Disney, trying to navigate a tricky representational path, steps all over itself throughout.
                                    "
metacritic,"Both the songs (once again written by two-time Oscar-winners Kristen Anderson-Lopez and Robert Lopez) and the relationships between the characters — strong points of the original film — register with less energy and originality this time around. 
                                    "
metacritic,"While I admire the movie’s attempt to more deeply mine the identities of sister-princesses Anna (sweet, non-magical) and Elsa (restless, can control snow and ice), its discoveries are rushed and are served up half-baked.
                                    "
metacritic,"Frozen 2 doesn’t have its forebear’s ungainliness; in many ways, it’s more efficiently engineered. But it’s also far less surprising, even taking into account that a sequel’s first task is to give people what they expect.
                                    "
metacritic,"It plays like an animated musical built around forgettable tunes and impressive animated effects that were cooked up before the script was decided on.
                                    "
rotten_tomatoes,"Anna ends up singing ""hello darkness, I'm ready to succumb"" and ""this grief has a gravity, it pulls me down."" Like much of the rest of the film, it's a bummer.
                                "
rotten_tomatoes,"While it's interesting to see a Disney sequel borrow parts of its plot from The Fifth Element, of all things, Frozen II ultimately doesn't go anywhere we don't expect it to. Let's hope that the inevitable Part III is willing to take a few more risks.
                                "
rotten_tomatoes,"There's so much affection for and investment in the original characters...people will be excited...but I just didn't get the magic. It's fine, but Frozen I was so much more than fine...
                                "
rotten_tomatoes,"[Some] sequences have a gleam and a rhythm to them that encapsulates Disney animation at its purest and most sinuous. The film itself doesn't hit that sweet spot that makes Pixar animations, for example, fun for adults as well as their children.
                                "
rotten_tomatoes,"This movie is so confusing that even talking about it is confusing.
                                "
rotten_tomatoes,"This is a well-considered, beautifully made - if not particularly brave or adventurous - sequel which carries both emotional heft and an intriguing mystery at its heart.
                                "
